epoch,train_loss,val_loss
1,0.5529651061252311,0.2772801493604978
2,0.15299967869564338,0.038988281351824604
3,0.034868383297213805,0.011875836101050178
4,0.014109287452366616,0.005551555387986203
5,0.008173537109461096,0.003455301707920929
6,0.004770081800719102,0.0018829142209142447
7,0.0033433947056807855,0.0013147320763285582
8,0.0023746842345981688,0.0010161361084707703
9,0.0019201661132414033,0.000753369165371017
10,0.0015308694939853416,0.0006041617040561201
11,0.0012571068394377275,0.00046577747343690135
12,0.0010329379570773907,0.0003768979610564808
13,0.0008245575815197771,0.0002994072128785774
14,0.0007509118730754213,0.0002854160108351304
15,0.000559507067642968,0.00021880561507714447
16,0.0004982354270328802,0.00019044710037026866
17,0.00039746412248523147,0.00015547470563130142
18,0.00034153430002603543,0.00013561011716471208
19,0.00031241475156059973,0.00011439322861406254
20,0.0002620211159982891,9.583717989395761e-05
21,0.00022218024845373024,8.571607486373978e-05
22,0.00022892727477786441,7.927391501046561e-05
23,0.00018345127507388866,6.941321892857862e-05
24,0.0002492757652092863,7.173083607388737e-05
25,0.0001738186787675928,6.202612197133324e-05
26,0.0001492525471365769,5.4593322753741326e-05
27,0.0001317184528926629,4.555630296939247e-05
28,0.00011132442838667582,4.063328393992075e-05
29,0.00010719332430097792,3.524948730652492e-05
30,9.494883868481136e-05,3.2475387797603616e-05
