epoch,train_loss,val_loss
1,0.48040263709567843,0.3905755430459976
2,0.2852811586289179,0.2126310095191002
3,0.21553893387317657,0.1543046310544014
4,0.17286218915666854,0.13279441930353642
5,0.15984129657347998,0.1192081905901432
6,0.13179199858790352,0.09577399492263794
7,0.133376392580214,0.08405130356550217
8,0.1088645997501555,0.07887904345989227
9,0.09662223394427981,0.07402622699737549
10,0.09591568970964068,0.06603377964347601
11,0.08990194222756795,0.06405783910304308
12,0.0846469443114031,0.05287785641849041
13,0.09329661478598912,0.05392287392169237
14,0.06860343402340299,0.05025168135762215
15,0.07701610081962176,0.04479371104389429
16,0.06472318566271237,0.042351397685706615
17,0.08016235203970046,0.04496390093117952
18,0.07098436320111864,0.03836584370583296
19,0.062039731513886226,0.04079409968107939
20,0.07007587576905887,0.039818353950977325
21,0.07114018127322197,0.04328095447272062
22,0.05604164399916217,0.03314284887164831
23,0.04790091603284791,0.031510075088590384
24,0.0581408551938477,0.033719774801284075
25,0.054418623890905155,0.03010565647855401
26,0.06568642812115806,0.029396191705018282
27,0.04973882596407618,0.025540528818964958
28,0.04476265103689262,0.02988341450691223
29,0.04824233259118739,0.0327318599447608
30,0.061454074102498236,0.02612429717555642
